content_id,title,genre,content_type,release_year,duration_mins,language,production_cost
C0001,Sci-Fi Title 1,Sci-Fi,Documentary,2020,34,Bengali,30044082.82
C0002,Reality Title 2,Reality,Movie,2020,154,Bengali,30255193.08
C0003,Horror Title 3,Horror,Series,2025,21,Telugu,46958359.1
C0004,Thriller Title 4,Thriller,Movie,2018,100,Telugu,30776831.44
C0005,Animation Title 5,Animation,Movie,2024,138,Hindi,2809950.33
C0006,Comedy Title 6,Comedy,Movie,2018,143,Tamil,43067050.13
C0007,Sci-Fi Title 7,Sci-Fi,Movie,2019,118,Telugu,47138986.91
C0008,Thriller Title 8,Thriller,Movie,2022,169,Hindi,34369534.81
C0009,Sci-Fi Title 9,Sci-Fi,Series,2024,27,Tamil,45511359.9
C0010,Action Title 10,Action,Movie,2019,83,Kannada,26243367.05
C0011,Reality Title 11,Reality,Series,2024,48,Hindi,38869074.76
C0012,Thriller Title 12,Thriller,Movie,2023,179,Kannada,10201151.69
C0013,Animation Title 13,Animation,Short Film,2025,40,Bengali,13931777.07
C0014,Documentary Title 14,Documentary,Series,2021,44,Telugu,27363456.12
C0015,Animation Title 15,Animation,Movie,2018,124,English,49350903.36
C0016,Horror Title 16,Horror,Movie,2025,87,Tamil,10342699.0
C0017,Horror Title 17,Horror,Series,2020,52,Bengali,46351893.49
C0018,Reality Title 18,Reality,Movie,2018,86,Telugu,16879452.23
C0019,Sci-Fi Title 19,Sci-Fi,Movie,2022,167,Tamil,29769240.49
C0020,Romance Title 20,Romance,Documentary,2020,20,Bengali,48599748.72
C0021,Comedy Title 21,Comedy,Documentary,2024,45,Kannada,24942882.02
C0022,Animation Title 22,Animation,Series,2019,45,Telugu,5840625.64
C0023,Sci-Fi Title 23,Sci-Fi,Series,2021,51,Kannada,7396906.99
C0024,Sci-Fi Title 24,Sci-Fi,Series,2021,48,Bengali,4310505.54
C0025,Comedy Title 25,Comedy,Movie,2019,145,Bengali,15133867.45
C0026,Documentary Title 26,Documentary,Documentary,2021,47,Telugu,21117242.42
C0027,Reality Title 27,Reality,Movie,2024,168,Kannada,5947570.26
C0028,Animation Title 28,Animation,Series,2018,32,Tamil,844130.46
C0029,Horror Title 29,Horror,Series,2020,52,Hindi,17211950.98
C0030,Romance Title 30,Romance,Movie,2018,167,Telugu,18499665.32
C0031,Drama Title 31,Drama,Movie,2023,91,Hindi,35757394.2
C0032,Documentary Title 32,Documentary,Movie,2020,160,English,48842440.31
C0033,Romance Title 33,Romance,Movie,2018,175,English,12358313.59
C0034,Thriller Title 34,Thriller,Series,2025,45,Kannada,12481735.94
C0035,Action Title 35,Action,Movie,2020,135,English,36546709.26
C0036,Horror Title 36,Horror,Series,2023,53,Kannada,27020846.86
C0037,Drama Title 37,Drama,Movie,2023,138,Bengali,42988760.84
C0038,Action Title 38,Action,Movie,2024,146,Tamil,17758966.37
C0039,Sci-Fi Title 39,Sci-Fi,Movie,2025,112,Hindi,41966650.24
C0040,Animation Title 40,Animation,Movie,2024,102,Kannada,34941327.77
C0041,Sci-Fi Title 41,Sci-Fi,Series,2025,45,English,26073476.62
C0042,Drama Title 42,Drama,Movie,2023,127,Telugu,28135525.95
C0043,Sci-Fi Title 43,Sci-Fi,Movie,2020,178,Tamil,42888052.45
C0044,Romance Title 44,Romance,Documentary,2021,43,Tamil,46813932.21
C0045,Action Title 45,Action,Documentary,2023,39,Tamil,18927996.94
C0046,Animation Title 46,Animation,Series,2019,48,Kannada,27662322.57
C0047,Romance Title 47,Romance,Series,2021,52,English,24947738.9
C0048,Action Title 48,Action,Movie,2024,87,Tamil,33051838.17
C0049,Drama Title 49,Drama,Series,2024,41,Kannada,12577487.35
C0050,Romance Title 50,Romance,Short Film,2020,27,Tamil,39843159.53
