revenue_id,subscriber_id,month,amount,plan_type
1,S000001,2024-06,699,Premium
2,S000001,2024-07,699,Premium
3,S000001,2024-08,699,Premium
4,S000001,2024-09,699,Premium
5,S000001,2024-10,699,Premium
6,S000001,2024-11,699,Premium
7,S000001,2024-12,699,Premium
8,S000002,2024-02,199,Basic
9,S000002,2024-03,199,Basic
10,S000002,2024-04,199,Basic
11,S000002,2024-05,199,Basic
12,S000003,2024-06,399,Standard
13,S000003,2024-07,399,Standard
14,S000003,2024-08,399,Standard
15,S000003,2024-09,399,Standard
16,S000003,2024-10,399,Standard
17,S000003,2024-11,399,Standard
18,S000003,2024-12,399,Standard
19,S000004,2024-02,199,Basic
20,S000004,2024-03,199,Basic
21,S000004,2024-04,199,Basic
22,S000004,2024-05,199,Basic
23,S000004,2024-06,199,Basic
24,S000004,2024-07,199,Basic
25,S000004,2024-08,199,Basic
26,S000004,2024-09,199,Basic
27,S000004,2024-10,199,Basic
28,S000004,2024-11,199,Basic
29,S000004,2024-12,199,Basic
30,S000005,2024-05,399,Standard
31,S000005,2024-06,399,Standard
32,S000005,2024-07,399,Standard
33,S000005,2024-08,399,Standard
34,S000005,2024-09,399,Standard
35,S000005,2024-10,399,Standard
36,S000005,2024-11,399,Standard
37,S000005,2024-12,399,Standard
38,S000006,2024-06,399,Standard
39,S000006,2024-07,399,Standard
40,S000006,2024-08,399,Standard
41,S000006,2024-09,399,Standard
42,S000006,2024-10,399,Standard
43,S000006,2024-11,399,Standard
44,S000006,2024-12,399,Standard
45,S000007,2024-04,199,Basic
46,S000007,2024-05,199,Basic
47,S000007,2024-06,199,Basic
48,S000007,2024-07,199,Basic
49,S000008,2024-03,399,Standard
50,S000008,2024-04,399,Standard
51,S000008,2024-05,399,Standard
52,S000008,2024-06,399,Standard
53,S000008,2024-07,399,Standard
54,S000009,2024-11,199,Basic
55,S000009,2024-12,199,Basic
56,S000010,2024-06,199,Basic
57,S000010,2024-07,199,Basic
58,S000010,2024-08,199,Basic
59,S000010,2024-09,199,Basic
60,S000010,2024-10,199,Basic
61,S000010,2024-11,199,Basic
62,S000010,2024-12,199,Basic
63,S000011,2024-07,399,Standard
64,S000011,2024-08,399,Standard
65,S000011,2024-09,399,Standard
66,S000011,2024-10,399,Standard
67,S000011,2024-11,399,Standard
68,S000011,2024-12,399,Standard
69,S000012,2024-04,199,Basic
70,S000012,2024-05,199,Basic
71,S000012,2024-06,199,Basic
72,S000012,2024-07,199,Basic
73,S000012,2024-08,199,Basic
74,S000012,2024-09,199,Basic
75,S000012,2024-10,199,Basic
76,S000012,2024-11,199,Basic
77,S000012,2024-12,199,Basic
78,S000013,2024-10,199,Basic
79,S000013,2024-11,199,Basic
80,S000013,2024-12,199,Basic
81,S000014,2024-02,699,Premium
82,S000014,2024-03,699,Premium
83,S000014,2024-04,699,Premium
84,S000014,2024-05,699,Premium
85,S000014,2024-06,699,Premium
86,S000014,2024-07,699,Premium
87,S000014,2024-08,699,Premium
88,S000014,2024-09,699,Premium
89,S000014,2024-10,699,Premium
90,S000014,2024-11,699,Premium
91,S000014,2024-12,699,Premium
92,S000015,2024-01,199,Basic
93,S000015,2024-02,199,Basic
94,S000015,2024-03,199,Basic
95,S000015,2024-04,199,Basic
96,S000015,2024-05,199,Basic
97,S000015,2024-06,199,Basic
98,S000015,2024-07,199,Basic
99,S000015,2024-08,199,Basic
100,S000015,2024-09,199,Basic
101,S000015,2024-10,199,Basic
102,S000015,2024-11,199,Basic
103,S000015,2024-12,199,Basic
104,S000016,2024-10,399,Standard
105,S000016,2024-11,399,Standard
106,S000016,2024-12,399,Standard
107,S000017,2024-09,199,Basic
108,S000017,2024-10,199,Basic
109,S000017,2024-11,199,Basic
110,S000017,2024-12,199,Basic
111,S000018,2024-09,399,Standard
112,S000018,2024-10,399,Standard
113,S000018,2024-11,399,Standard
114,S000018,2024-12,399,Standard
115,S000019,2024-04,699,Premium
116,S000019,2024-05,699,Premium
117,S000019,2024-06,699,Premium
118,S000019,2024-07,699,Premium
119,S000019,2024-08,699,Premium
120,S000019,2024-09,699,Premium
121,S000019,2024-10,699,Premium
122,S000019,2024-11,699,Premium
123,S000019,2024-12,699,Premium
124,S000020,2024-12,399,Standard
125,S000021,2024-09,199,Basic
126,S000021,2024-10,199,Basic
127,S000021,2024-11,199,Basic
128,S000021,2024-12,199,Basic
129,S000022,2024-02,399,Standard
130,S000022,2024-03,399,Standard
131,S000022,2024-04,399,Standard
132,S000022,2024-05,399,Standard
133,S000023,2024-04,399,Standard
134,S000023,2024-05,399,Standard
135,S000023,2024-06,399,Standard
136,S000023,2024-07,399,Standard
137,S000023,2024-08,399,Standard
138,S000023,2024-09,399,Standard
139,S000023,2024-10,399,Standard
140,S000023,2024-11,399,Standard
141,S000023,2024-12,399,Standard
142,S000024,2024-04,199,Basic
143,S000024,2024-05,199,Basic
144,S000024,2024-06,199,Basic
145,S000024,2024-07,199,Basic
146,S000024,2024-08,199,Basic
147,S000024,2024-09,199,Basic
148,S000024,2024-10,199,Basic
149,S000024,2024-11,199,Basic
150,S000024,2024-12,199,Basic
151,S000025,2024-07,199,Basic
152,S000025,2024-08,199,Basic
153,S000025,2024-09,199,Basic
154,S000025,2024-10,199,Basic
155,S000025,2024-11,199,Basic
156,S000025,2024-12,199,Basic
157,S000026,2024-08,699,Premium
158,S000026,2024-09,699,Premium
159,S000026,2024-10,699,Premium
160,S000026,2024-11,699,Premium
161,S000026,2024-12,699,Premium
162,S000027,2024-12,399,Standard
163,S000028,2024-12,199,Basic
164,S000029,2024-11,199,Basic
165,S000029,2024-12,199,Basic
166,S000030,2024-04,399,Standard
167,S000030,2024-05,399,Standard
168,S000030,2024-06,399,Standard
169,S000030,2024-07,399,Standard
170,S000030,2024-08,399,Standard
171,S000030,2024-09,399,Standard
172,S000030,2024-10,399,Standard
173,S000030,2024-11,399,Standard
174,S000030,2024-12,399,Standard
175,S000031,2024-10,699,Premium
176,S000031,2024-11,699,Premium
177,S000031,2024-12,699,Premium
178,S000032,2024-05,699,Premium
179,S000032,2024-06,699,Premium
180,S000032,2024-07,699,Premium
181,S000032,2024-08,699,Premium
182,S000032,2024-09,699,Premium
183,S000032,2024-10,699,Premium
184,S000032,2024-11,699,Premium
185,S000032,2024-12,699,Premium
186,S000033,2024-01,199,Basic
187,S000033,2024-02,199,Basic
188,S000033,2024-03,199,Basic
189,S000033,2024-04,199,Basic
190,S000033,2024-05,199,Basic
191,S000033,2024-06,199,Basic
192,S000033,2024-07,199,Basic
193,S000033,2024-08,199,Basic
194,S000033,2024-09,199,Basic
195,S000033,2024-10,199,Basic
196,S000033,2024-11,199,Basic
197,S000033,2024-12,199,Basic
198,S000034,2024-05,199,Basic
199,S000034,2024-06,199,Basic
200,S000034,2024-07,199,Basic
201,S000035,2024-05,199,Basic
202,S000035,2024-06,199,Basic
203,S000035,2024-07,199,Basic
204,S000035,2024-08,199,Basic
205,S000035,2024-09,199,Basic
206,S000035,2024-10,199,Basic
207,S000035,2024-11,199,Basic
208,S000035,2024-12,199,Basic
209,S000036,2024-09,699,Premium
210,S000036,2024-10,699,Premium
211,S000036,2024-11,699,Premium
212,S000036,2024-12,699,Premium
213,S000037,2024-10,199,Basic
214,S000037,2024-11,199,Basic
215,S000037,2024-12,199,Basic
216,S000038,2024-12,199,Basic
217,S000039,2024-10,699,Premium
218,S000039,2024-11,699,Premium
219,S000039,2024-12,699,Premium
220,S000040,2024-05,399,Standard
221,S000040,2024-06,399,Standard
222,S000040,2024-07,399,Standard
223,S000040,2024-08,399,Standard
224,S000040,2024-09,399,Standard
225,S000040,2024-10,399,Standard
226,S000040,2024-11,399,Standard
227,S000040,2024-12,399,Standard
228,S000041,2024-11,199,Basic
229,S000041,2024-12,199,Basic
230,S000042,2024-08,199,Basic
231,S000042,2024-09,199,Basic
232,S000042,2024-10,199,Basic
233,S000042,2024-11,199,Basic
234,S000042,2024-12,199,Basic
235,S000043,2024-08,199,Basic
236,S000043,2024-09,199,Basic
237,S000043,2024-10,199,Basic
238,S000043,2024-11,199,Basic
239,S000043,2024-12,199,Basic
240,S000044,2024-09,199,Basic
241,S000044,2024-10,199,Basic
242,S000044,2024-11,199,Basic
243,S000044,2024-12,199,Basic
244,S000045,2024-01,399,Standard
245,S000045,2024-02,399,Standard
246,S000045,2024-03,399,Standard
247,S000045,2024-04,399,Standard
248,S000045,2024-05,399,Standard
249,S000045,2024-06,399,Standard
250,S000045,2024-07,399,Standard
251,S000045,2024-08,399,Standard
252,S000045,2024-09,399,Standard
253,S000045,2024-10,399,Standard
254,S000045,2024-11,399,Standard
255,S000045,2024-12,399,Standard
256,S000046,2024-02,699,Premium
257,S000046,2024-03,699,Premium
