subscriber_id,region,device_type,plan_type,join_date,churn_date,monthly_revenue
S000001,North India,Smart TV,Premium,2024-06-04,,699
S000002,Karnataka,Laptop,Basic,2024-02-17,2024-05-13,199
S000003,West India,Smart TV,Standard,2024-06-15,,399
S000004,West India,Mobile,Basic,2024-02-25,,199
S000005,North India,Laptop,Standard,2024-05-05,,399
S000006,West India,Smart TV,Standard,2024-06-24,,399
S000007,Karnataka,Mobile,Basic,2024-04-22,2024-07-29,199
S000008,East India,Mobile,Standard,2024-03-15,2024-07-29,399
S000009,South India,Tablet,Basic,2024-11-10,2025-01-08,199
S000010,East India,Tablet,Basic,2024-06-18,,199
S000011,Maharashtra,Smart TV,Standard,2024-07-19,,399
S000012,Karnataka,Smart TV,Basic,2024-04-18,,199
S000013,Maharashtra,Laptop,Basic,2024-10-31,,199
S000014,Maharashtra,Mobile,Premium,2024-02-11,,699
S000015,West India,Mobile,Basic,2024-01-21,,199
S000016,Maharashtra,Smart TV,Standard,2024-10-06,,399
S000017,South India,Smart TV,Basic,2024-09-29,,199
S000018,Maharashtra,Mobile,Standard,2024-09-06,,399
S000019,East India,Mobile,Premium,2024-04-10,,699
S000020,Maharashtra,Smart TV,Standard,2024-12-19,,399
S000021,West India,Mobile,Basic,2024-09-02,,199
S000022,North India,Tablet,Standard,2024-02-15,2024-05-24,399
S000023,Karnataka,Smart TV,Standard,2024-04-17,,399
S000024,Karnataka,Laptop,Basic,2024-04-11,,199
S000025,East India,Smart TV,Basic,2024-07-21,,199
S000026,East India,Smart TV,Premium,2024-08-06,,699
S000027,North India,Mobile,Standard,2024-12-30,,399
S000028,East India,Mobile,Basic,2024-12-02,,199
S000029,Karnataka,Mobile,Basic,2024-11-20,,199
S000030,Maharashtra,Mobile,Standard,2024-04-23,,399
S000031,Maharashtra,Smart TV,Premium,2024-10-24,,699
S000032,Karnataka,Desktop,Premium,2024-05-31,,699
S000033,South India,Laptop,Basic,2024-01-19,,199
S000034,North India,Smart TV,Basic,2024-05-14,2024-07-18,199
S000035,Maharashtra,Laptop,Basic,2024-05-20,,199
S000036,South India,Mobile,Premium,2024-09-13,,699
S000037,West India,Smart TV,Basic,2024-10-16,2025-03-22,199
S000038,Karnataka,Laptop,Basic,2024-12-20,,199
S000039,East India,Tablet,Premium,2024-10-16,2025-02-05,699
S000040,South India,Mobile,Standard,2024-05-24,,399
S000041,West India,Tablet,Basic,2024-11-17,2024-12-29,199
S000042,Karnataka,Mobile,Basic,2024-08-02,,199
S000043,North India,Smart TV,Basic,2024-08-18,,199
S000044,Maharashtra,Smart TV,Basic,2024-09-25,,199
S000045,Karnataka,Smart TV,Standard,2024-01-31,,399
S000046,Karnataka,Smart TV,Premium,2024-02-23,2024-07-15,699
S000047,Karnataka,Smart TV,Basic,2024-02-22,,199
S000048,South India,Smart TV,Basic,2024-02-28,,199
S000049,East India,Mobile,Basic,2024-10-16,2025-02-20,199
S000050,South India,Laptop,Basic,2024-08-28,,199
S000051,North India,Mobile,Standard,2024-07-27,2024-10-14,399
S000052,East India,Laptop,Premium,2024-11-15,,699
S000053,West India,Smart TV,Basic,2024-05-16,,199
S000054,North India,Smart TV,Premium,2024-11-02,,699
S000055,East India,Laptop,Premium,2024-06-27,2024-09-24,699
S000056,Maharashtra,Tablet,Standard,2024-06-23,,399
S000057,North India,Laptop,Basic,2024-01-24,,199
S000058,Maharashtra,Mobile,Premium,2024-07-19,2025-01-04,699
S000059,North India,Smart TV,Basic,2024-10-30,,199
S000060,West India,Mobile,Basic,2024-09-12,,199
S000061,Maharashtra,Smart TV,Premium,2024-01-13,,699
S000062,East India,Laptop,Standard,2024-05-16,,399
S000063,Maharashtra,Mobile,Standard,2024-04-09,,399
S000064,South India,Laptop,Basic,2024-09-20,,199
S000065,Karnataka,Mobile,Premium,2024-05-28,,699
S000066,North India,Laptop,Premium,2024-09-08,2024-10-20,699
S000067,Maharashtra,Laptop,Standard,2024-02-22,,399
S000068,Karnataka,Laptop,Basic,2024-04-11,,199
S000069,Karnataka,Smart TV,Premium,2024-06-11,,699
S000070,North India,Desktop,Standard,2024-01-24,,399
S000071,West India,Mobile,Standard,2024-08-17,,399
S000072,East India,Smart TV,Basic,2024-04-01,,199
S000073,South India,Mobile,Basic,2024-06-23,,199
S000074,North India,Laptop,Basic,2024-08-11,,199
S000075,East India,Laptop,Basic,2024-11-08,,199
S000076,North India,Smart TV,Standard,2024-08-15,,399
S000077,Maharashtra,Smart TV,Premium,2024-08-04,,699
S000078,Maharashtra,Mobile,Basic,2024-07-13,,199
S000079,South India,Desktop,Basic,2024-03-19,2024-04-21,199
S000080,South India,Smart TV,Basic,2024-11-07,,199
S000081,East India,Laptop,Standard,2024-10-04,,399
S000082,East India,Smart TV,Standard,2024-01-26,,399
S000083,West India,Smart TV,Basic,2024-06-29,,199
S000084,West India,Mobile,Standard,2024-11-16,,399
S000085,North India,Laptop,Standard,2024-02-26,,399
S000086,North India,Smart TV,Standard,2024-01-05,,399
S000087,Maharashtra,Tablet,Basic,2024-08-13,,199
S000088,Karnataka,Smart TV,Premium,2024-10-20,,699
S000089,Maharashtra,Smart TV,Standard,2024-08-10,2024-09-14,399
S000090,East India,Laptop,Premium,2024-04-17,,699
S000091,North India,Mobile,Premium,2024-06-04,,699
S000092,East India,Desktop,Premium,2024-02-17,,699
S000093,South India,Smart TV,Standard,2024-05-18,,399
S000094,East India,Laptop,Basic,2024-06-02,2024-10-17,199
S000095,Maharashtra,Desktop,Basic,2024-09-29,,199
S000096,Karnataka,Laptop,Premium,2024-01-08,,699
S000097,North India,Mobile,Basic,2024-11-16,,199
S000098,West India,Mobile,Standard,2024-12-07,,399
S000099,West India,Mobile,Basic,2024-04-10,,199
S000100,South India,Smart TV,Standard,2024-08-03,,399
S000101,North India,Smart TV,Premium,2024-10-04,,699
S000102,Karnataka,Smart TV,Premium,2024-06-21,2024-07-29,699
