session_id,subscriber_id,content_id,watch_date,watch_hour,watch_mins,completion_pct
WS00000001,S000001,C0327,2024-02-26,14,13,50.0
WS00000002,S000001,C0239,2024-10-20,5,15,33.33
WS00000003,S000001,C0196,2024-08-05,22,21,58.33
WS00000004,S000001,C0037,2024-07-18,8,96,69.57
WS00000005,S000001,C0310,2024-10-13,20,39,34.82
WS00000006,S000001,C0379,2024-04-22,21,149,98.68
WS00000007,S000001,C0489,2024-09-15,20,13,54.17
WS00000008,S000001,C0484,2024-10-28,8,6,22.22
WS00000009,S000001,C0242,2024-02-08,13,12,31.58
WS00000010,S000001,C0350,2024-03-08,5,51,62.96
WS00000011,S000001,C0153,2024-03-27,20,13,39.39
WS00000012,S000001,C0248,2024-07-22,11,118,66.67
WS00000013,S000001,C0351,2024-05-02,20,10,9.8
WS00000014,S000001,C0275,2024-08-23,13,23,46.0
WS00000015,S000001,C0141,2024-01-25,18,40,47.06
WS00000016,S000001,C0021,2024-04-19,21,38,84.44
WS00000017,S000001,C0107,2024-10-01,20,15,12.5
WS00000018,S000001,C0418,2024-10-12,21,6,15.0
WS00000019,S000001,C0271,2024-08-03,17,79,66.39
WS00000020,S000001,C0339,2024-12-02,0,18,81.82
WS00000021,S000001,C0215,2024-05-18,20,97,59.15
WS00000022,S000001,C0236,2024-10-20,21,16,72.73
WS00000023,S000001,C0166,2024-11-16,20,40,86.96
WS00000024,S000001,C0356,2024-08-16,3,21,72.41
WS00000025,S000001,C0222,2024-12-23,21,29,29.9
WS00000026,S000001,C0433,2024-09-13,13,25,86.21
WS00000027,S000001,C0277,2024-06-07,5,5,14.29
WS00000028,S000001,C0259,2024-06-24,21,15,60.0
WS00000029,S000001,C0025,2024-10-10,22,22,15.17
WS00000030,S000001,C0116,2024-11-21,21,25,19.23
WS00000031,S000001,C0094,2024-05-05,22,24,26.09
WS00000032,S000001,C0437,2024-12-21,12,35,85.37
WS00000033,S000001,C0200,2024-05-27,7,21,51.22
WS00000034,S000001,C0221,2024-11-01,1,8,38.1
WS00000035,S000001,C0476,2024-04-07,14,12,38.71
WS00000036,S000001,C0285,2024-07-13,20,26,50.98
WS00000037,S000001,C0003,2024-06-16,22,10,47.62
WS00000038,S000001,C0453,2024-01-03,2,9,32.14
WS00000039,S000001,C0216,2024-02-26,0,9,33.33
WS00000040,S000001,C0083,2024-07-18,21,28,93.33
WS00000041,S000001,C0422,2024-05-14,8,27,24.77
WS00000042,S000001,C0365,2024-10-19,1,25,96.15
WS00000043,S000001,C0411,2024-08-05,17,120,89.55
WS00000044,S000001,C0092,2024-02-28,4,20,11.49
WS00000045,S000001,C0441,2024-07-13,1,121,81.76
WS00000046,S000001,C0353,2024-10-01,5,12,32.43
WS00000047,S000001,C0229,2024-11-11,16,9,20.93
WS00000048,S000001,C0486,2024-08-26,9,130,100.0
WS00000049,S000001,C0499,2024-06-24,7,28,75.68
WS00000050,S000001,C0343,2024-10-06,7,45,39.47
WS00000051,S000001,C0307,2024-01-28,22,5,18.52
WS00000052,S000001,C0082,2024-12-23,7,19,35.85
WS00000053,S000001,C0497,2024-07-31,1,22,70.97
WS00000054,S000001,C0094,2024-10-21,19,30,32.61
WS00000055,S000001,C0016,2024-06-25,21,31,35.63
WS00000056,S000001,C0063,2024-05-09,22,33,35.11
WS00000057,S000001,C0270,2024-10-06,15,16,12.8
WS00000058,S000001,C0402,2024-12-22,13,29,74.36
WS00000059,S000001,C0286,2024-07-29,13,6,28.57
WS00000060,S000001,C0456,2024-06-29,20,15,35.71
WS00000061,S000001,C0449,2024-01-27,12,35,66.04
WS00000062,S000001,C0305,2024-01-26,15,13,15.48
WS00000063,S000001,C0269,2024-01-10,20,21,77.78
WS00000064,S000002,C0479,2024-04-10,22,116,93.55
WS00000065,S000002,C0266,2024-07-31,9,160,96.97
WS00000066,S000002,C0153,2024-12-27,21,10,30.3
WS00000067,S000002,C0289,2024-08-13,14,9,21.43
WS00000068,S000002,C0174,2024-07-23,13,28,62.22
WS00000069,S000002,C0198,2024-11-02,8,38,71.7
WS00000070,S000002,C0279,2024-08-07,23,17,38.64
WS00000071,S000002,C0141,2024-05-24,11,75,88.24
WS00000072,S000002,C0158,2024-08-17,20,13,38.24
WS00000073,S000002,C0289,2024-01-31,21,29,69.05
WS00000074,S000002,C0475,2024-11-05,17,5,13.89
WS00000075,S000002,C0084,2024-04-01,6,28,100.0
WS00000076,S000002,C0062,2024-04-28,22,39,95.12
WS00000077,S000002,C0344,2024-04-23,21,19,79.17
WS00000078,S000002,C0261,2024-01-17,22,26,83.87
WS00000079,S000002,C0387,2024-12-23,14,23,25.0
WS00000080,S000002,C0480,2024-05-28,1,9,45.0
WS00000081,S000002,C0054,2024-06-06,20,15,37.5
WS00000082,S000002,C0113,2024-10-18,5,47,87.04
WS00000083,S000002,C0441,2024-03-31,8,124,83.78
WS00000084,S000002,C0210,2024-08-15,12,101,77.69
WS00000085,S000002,C0316,2024-10-04,18,30,66.67
WS00000086,S000002,C0075,2024-05-28,8,64,71.91
WS00000087,S000002,C0007,2024-02-22,22,65,55.08
WS00000088,S000002,C0309,2024-11-29,20,17,37.78
WS00000089,S000002,C0328,2024-12-25,18,5,5.43
WS00000090,S000002,C0041,2024-01-27,21,17,37.78
WS00000091,S000002,C0040,2024-09-10,12,95,93.14
WS00000092,S000002,C0427,2024-07-23,16,56,53.33
WS00000093,S000002,C0390,2024-12-02,22,22,55.0
WS00000094,S000002,C0462,2024-09-18,1,11,34.38
WS00000095,S000002,C0309,2024-01-29,16,5,11.11
WS00000096,S000002,C0469,2024-05-02,12,107,93.04
WS00000097,S000002,C0213,2024-06-25,13,28,80.0
WS00000098,S000002,C0045,2024-10-14,0,27,69.23
WS00000099,S000002,C0331,2024-11-04,13,17,16.5
WS00000100,S000002,C0313,2024-02-15,13,70,45.45
WS00000101,S000002,C0263,2024-02-12,20,20,90.91
WS00000102,S000002,C0036,2024-05-08,8,14,26.42
WS00000103,S000002,C0061,2024-12-28,22,30,18.07
WS00000104,S000002,C0497,2024-03-03,2,5,16.13
WS00000105,S000002,C0311,2024-04-26,10,61,55.45
WS00000106,S000002,C0345,2024-06-12,21,121,85.82
WS00000107,S000002,C0165,2024-04-28,8,18,85.71
WS00000108,S000002,C0147,2024-09-28,10,23,95.83
WS00000109,S000002,C0213,2024-08-12,7,23,65.71
WS00000110,S000002,C0162,2024-06-27,20,19,36.54
WS00000111,S000002,C0181,2024-04-03,21,94,86.24
WS00000112,S000002,C0089,2024-09-24,5,136,86.62
WS00000113,S000002,C0061,2024-04-28,9,151,90.96
WS00000114,S000002,C0281,2024-04-21,20,58,38.93
WS00000115,S000002,C0179,2024-01-27,21,11,23.4
WS00000116,S000002,C0311,2024-12-28,6,67,60.91
WS00000117,S000003,C0462,2024-07-09,20,10,31.25
WS00000118,S000003,C0018,2024-11-03,15,35,40.7
WS00000119,S000003,C0195,2024-08-17,22,99,90.83
WS00000120,S000003,C0337,2024-05-12,3,24,80.0
WS00000121,S000003,C0145,2024-09-28,22,163,95.32
WS00000122,S000003,C0169,2024-10-19,22,11,45.83
WS00000123,S000003,C0330,2024-03-04,20,25,92.59
WS00000124,S000003,C0229,2024-10-20,8,42,97.67
WS00000125,S000003,C0335,2024-01-01,20,12,41.38
WS00000126,S000003,C0291,2024-08-27,4,26,78.79
WS00000127,S000003,C0142,2024-12-01,7,9,36.0
WS00000128,S000003,C0057,2024-11-22,22,15,41.67
WS00000129,S000003,C0465,2024-06-25,3,98,82.35
WS00000130,S000003,C0161,2024-02-07,22,28,58.33
WS00000131,S000003,C0235,2024-03-04,13,93,55.36
WS00000132,S000003,C0225,2024-06-15,22,6,12.24
WS00000133,S000003,C0396,2024-03-18,2,21,55.26
WS00000134,S000003,C0248,2024-10-22,22,48,27.12
WS00000135,S000003,C0188,2024-08-19,6,10,21.28
WS00000136,S000003,C0457,2024-06-19,20,62,65.26
WS00000137,S000003,C0327,2024-09-20,22,10,38.46
WS00000138,S000003,C0017,2024-12-03,7,34,65.38
WS00000139,S000003,C0399,2024-03-01,8,24,54.55
WS00000140,S000003,C0027,2024-01-28,14,103,61.31
WS00000141,S000003,C0315,2024-07-07,8,82,47.67
WS00000142,S000003,C0364,2024-09-17,17,104,62.65
WS00000143,S000003,C0342,2024-02-09,5,15,68.18
WS00000144,S000003,C0326,2024-11-21,17,43,35.54
WS00000145,S000003,C0230,2024-09-25,22,8,34.78
WS00000146,S000003,C0265,2024-01-11,18,7,17.95
WS00000147,S000003,C0369,2024-07-16,16,156,98.73
WS00000148,S000003,C0230,2024-03-26,22,10,43.48
WS00000149,S000003,C0398,2024-10-07,21,16,72.73
WS00000150,S000003,C0408,2024-08-10,13,19,51.35
WS00000151,S000003,C0015,2024-02-03,21,58,46.77
WS00000152,S000003,C0420,2024-04-19,13,27,22.5
WS00000153,S000004,C0397,2024-04-15,22,5,18.52
WS00000154,S000004,C0273,2024-05-23,16,126,86.9
WS00000155,S000004,C0107,2024-09-24,5,99,82.5
WS00000156,S000004,C0075,2024-02-12,1,57,64.04
WS00000157,S000004,C0283,2024-02-25,3,131,74.43
WS00000158,S000004,C0104,2024-12-01,8,20,90.91
WS00000159,S000004,C0250,2024-09-27,12,95,64.63
WS00000160,S000004,C0207,2024-04-07,6,14,8.75
WS00000161,S000004,C0497,2024-05-15,20,30,96.77
WS00000162,S000004,C0032,2024-04-05,0,25,15.62
WS00000163,S000004,C0268,2024-07-05,12,43,86.0
WS00000164,S000004,C0037,2024-09-11,22,116,84.06
WS00000165,S000004,C0098,2024-02-05,12,37,82.22
WS00000166,S000004,C0003,2024-05-10,22,15,71.43
WS00000167,S000004,C0443,2024-01-28,4,26,76.47
WS00000168,S000004,C0157,2024-04-18,22,14,11.76
WS00000169,S000004,C0146,2024-07-28,20,57,43.85
WS00000170,S000004,C0049,2024-06-02,23,29,70.73
WS00000171,S000004,C0044,2024-04-30,22,28,65.12
WS00000172,S000004,C0007,2024-07-02,20,24,20.34
WS00000173,S000004,C0489,2024-09-10,18,12,50.0
WS00000174,S000004,C0483,2024-10-25,22,68,59.65
WS00000175,S000004,C0017,2024-06-01,3,43,82.69
WS00000176,S000004,C0039,2024-08-25,0,63,56.25
WS00000177,S000004,C0309,2024-06-05,20,18,40.0
WS00000178,S000004,C0250,2024-01-02,4,14,9.52
WS00000179,S000004,C0182,2024-06-18,21,6,30.0
WS00000180,S000004,C0307,2024-02-18,14,16,59.26
WS00000181,S000004,C0418,2024-11-15,12,33,82.5
WS00000182,S000004,C0272,2024-02-29,22,16,50.0
WS00000183,S000004,C0065,2024-06-21,20,23,42.59
WS00000184,S000004,C0129,2024-03-27,21,16,43.24
WS00000185,S000004,C0344,2024-08-16,21,14,58.33
WS00000186,S000004,C0132,2024-09-09,23,27,65.85
WS00000187,S000004,C0294,2024-11-07,21,27,90.0
WS00000188,S000004,C0448,2024-04-02,16,28,80.0
WS00000189,S000004,C0318,2024-07-08,16,19,39.58
WS00000190,S000004,C0482,2024-03-03,22,33,22.92
WS00000191,S000004,C0007,2024-01-20,20,31,26.27
WS00000192,S000004,C0469,2024-02-19,21,96,83.48
WS00000193,S000004,C0365,2024-04-08,23,14,53.85
WS00000194,S000004,C0465,2024-10-30,20,36,30.25
WS00000195,S000004,C0466,2024-11-09,12,74,45.68
WS00000196,S000004,C0437,2024-09-14,20,14,34.15
WS00000197,S000004,C0409,2024-12-01,22,5,13.16
WS00000198,S000004,C0204,2024-01-13,19,77,73.33
WS00000199,S000004,C0001,2024-08-03,9,33,97.06
WS00000200,S000004,C0403,2024-09-09,2,8,34.78
WS00000201,S000004,C0030,2024-04-15,20,40,23.95
WS00000202,S000004,C0196,2024-07-21,14,27,75.0
WS00000203,S000005,C0124,2024-11-05,7,28,71.79
WS00000204,S000005,C0045,2024-03-04,22,21,53.85
WS00000205,S000005,C0209,2024-12-03,22,19,43.18
WS00000206,S000005,C0112,2024-03-07,3,124,75.15
WS00000207,S000005,C0465,2024-07-03,20,78,65.55
WS00000208,S000005,C0157,2024-04-25,3,51,42.86
WS00000209,S000005,C0248,2024-08-19,22,115,64.97
WS00000210,S000005,C0261,2024-11-11,19,22,70.97
WS00000211,S000005,C0364,2024-04-12,19,119,71.69
WS00000212,S000005,C0021,2024-07-29,8,6,13.33
WS00000213,S000005,C0082,2024-06-13,20,14,26.42
WS00000214,S000005,C0425,2024-09-06,1,5,12.5
WS00000215,S000005,C0118,2024-01-18,18,10,18.87
WS00000216,S000005,C0255,2024-01-17,19,172,97.18
WS00000217,S000005,C0010,2024-08-02,22,35,42.17
WS00000218,S000005,C0340,2024-02-14,19,27,84.38
WS00000219,S000005,C0422,2024-11-29,21,15,13.76
WS00000220,S000005,C0214,2024-12-22,21,38,36.19
WS00000221,S000005,C0010,2024-08-21,16,80,96.39
WS00000222,S000005,C0375,2024-10-18,23,13,65.0
WS00000223,S000005,C0149,2024-03-16,8,10,33.33
WS00000224,S000005,C0310,2024-10-01,21,66,58.93
WS00000225,S000005,C0094,2024-04-09,23,61,66.3
WS00000226,S000005,C0004,2024-03-18,18,32,32.0
WS00000227,S000005,C0425,2024-01-01,11,11,27.5
WS00000228,S000005,C0180,2024-05-13,2,14,43.75
WS00000229,S000005,C0110,2024-07-25,11,52,47.71
WS00000230,S000005,C0103,2024-04-19,19,10,27.03
WS00000231,S000005,C0219,2024-08-01,15,15,33.33
